,PseudoTime
HSPC_025,0.0733470550810205
HSPC_031,0.0661391966530448
LT_HSC_001,0.0373400907805861
HSPC_001,0.0482555937347896
HSPC_008,0.0596785578157365
HSPC_014,0.064313955298767
HSPC_020,0.0139848897520206
LT_HSC_002,0.0637365641668212
HSPC_002,0.0450893179990793
HSPC_021,0.0749431680547084
HSPC_027,0.0850626330773465
HSPC_003,0.0969865865672775
HSPC_034,0.104733447504021
LT_HSC_004,0.0305010723311259
HSPC_017,0.0427369716708742
HSPC_035,0.0513175756182229
HSPC_041,0.0700739504582331
HSPC_018,0.0706027193858675
HSPC_024,0.0586900998520486
HSPC_036,0.0978960940493055
LT_HSC_006,0.0683746790862867
Prog_007,0.133230369873821
Prog_013,0.101700885151861
Prog_019,0.133230369873821
Prog_031,0.0945392435598075
Prog_001,0.123076798396787
Prog_026,0.0870535035712171
Prog_015,0.0903422783142313
LT_HSC_009,0.0332247244561273
Prog_010,0.0998810071429136
Prog_040,0.0730217067630489
LT_HSC_010,0.131916685120053
Prog_017,0.125356582893566
LT_HSC_012,0.0292563702901634
Prog_012,0.0889245502677063
HSPC_055,0.0878594009354498
HSPC_061,0.0787387368155155
HSPC_067,0.0742789401603163
HSPC_073,0.0735892916874871
HSPC_079,0.091828967291576
LT_HSC_013,0.0359035916308121
HSPC_043,0.0784696184267179
HSPC_062,0.0908809845466892
HSPC_074,0.0422781528825153
LT_HSC_014,0.0339351504980337
HSPC_044,0.131853209420116
HSPC_057,0.0212611868550223
HSPC_063,0.124699684289243
HSPC_069,0.0410326303203859
HSPC_075,0.0351686274970851
HSPC_081,0.066163764601568
LT_HSC_015,0.0356044192452658
HSPC_045,0.074825075737348
HSPC_052,0.12470162061318
HSPC_076,0.0715109532322881
HSPC_082,0.0721016230421759
LT_HSC_016,0.0258078367120791
HSPC_053,0.0925345536928088
HSPC_065,0.0845567400222004
HSPC_071,0.0949833708194823
HSPC_077,0.0915418765852452
HSPC_083,0.0353373268191884
LT_HSC_017,0.0499915462738663
HSPC_047,0.0555215715786595
HSPC_060,0.0441367769498389
HSPC_066,0.0233830305001735
HSPC_072,0.133230369873821
HSPC_084,0.0645948034188017
LT_HSC_018,0.0312211629786337
Prog_055,0.123004499371472
Prog_050,0.12725544010507
Prog_068,0.133230369873821
Prog_080,0.122722996917464
Prog_044,0.0898972138650723
Prog_057,0.117267399705656
Prog_063,0.122758907568157
Prog_075,0.122900142242136
LT_HSC_021,0.0476398299525223
Prog_052,0.108762706744587
Prog_070,0.0889364400564071
LT_HSC_022,0.0292929674606764
Prog_065,0.133230369873821
Prog_083,0.115532479218843
LT_HSC_023,0.0313587704401328
Prog_047,0.121563095740075
Prog_066,0.105961095740931
Prog_048,0.0677056316987081
HSPC_109,0.0990205886002241
HSPC_115,0.0722460399582197
HSPC_085,0.066153801395818
HSPC_104,0.0668748458951179
HSPC_099,0.0625652551512659
HSPC_111,0.0395878400274213
HSPC_087,0.0197414702458626
HSPC_094,0.0811415382596079
HSPC_106,0.0470211700863905
HSPC_118,0.0702161306300582
LT_HSC_028,0.0355317279701762
HSPC_088,0.0671403035579772
HSPC_095,0.0102750386501932
HSPC_119,0.0504941392377555
HSPC_089,0.0769916767260556
HSPC_102,0.12673705301911
HSPC_108,0.0717784755457214
HSPC_120,0.0296546551914769
HSPC_126,0.0610566450738378
Prog_097,0.119194471705153
Prog_109,0.122313043396689
LT_HSC_031,0.0572996248070077
Prog_116,0.0812202935770112
Prog_105,0.132958670006777
Prog_117,0.127692029098924
Prog_123,0.126808328988385
LT_HSC_033,0.0237764345172865
Prog_087,0.120738677035638
Prog_106,0.0853755578235026
Prog_118,0.125444855891047
Prog_124,0.115486469934022
LT_HSC_034,0.0333723826550219
Prog_088,0.109303078268829
Prog_101,0.11691155977183
Prog_113,0.109053086721205
LT_HSC_036,0.00797815859059115
Prog_108,0.131507714467008
HSPC_133,0.0969026461400769
HSPC_139,0.0440872805798827
HSPC_151,0.0853012580820856
HSPC_157,0.108780838742297
HSPC_127,0.0837748805608467
HSPC_140,0.0876860221413594
HSPC_146,0.0946939133150835
HSPC_164,0.0756442826666999
HSPC_135,0.0315860611510765
HSPC_141,0.0706804458267228
HSPC_159,0.0526551575551495
HSPC_165,0.0983277516258741
LT_HSC_039,0.0472445687985492
HSPC_136,0.0747960662265107
HSPC_142,0.0767558298938351
HSPC_148,0.133230369873821
LT_HSC_040,0.133230369873821
HSPC_130,0.0630464389109404
HSPC_143,0.11629307405711
HSPC_149,0.0597061226387091
HSPC_155,0.0657909168061684
HSPC_161,0.0684722903157919
LT_HSC_041,0.0299552907003944
HSPC_131,0.0821034890073582
HSPC_138,0.0415638166509598
HSPC_144,0.0763937143385334
HSPC_168,0.104729969137847
Prog_133,0.126394799200616
Prog_151,0.0808615287702092
LT_HSC_043,0.0389365658371395
Prog_127,0.085508989139968
Prog_146,0.101722054265193
Prog_128,0.133052177245463
Prog_135,0.0645647728836411
Prog_141,0.121758243358439
LT_HSC_045,0.120581927821888
Prog_129,0.129414775437217
Prog_136,0.12453403747855
Prog_154,0.101994430652923
LT_HSC_046,0.0343209246068789
Prog_130,0.115148045236138
Prog_137,0.103927370190807
Prog_149,0.109265895642579
Prog_155,0.110739909854106
Prog_167,0.0941944958268968
