,PseudoTime
HSPC_025,0.0650987137825148
HSPC_031,0.0603649306467457
LT_HSC_001,0.037188915498448
HSPC_001,0.0480526661748167
HSPC_008,0.0558190857520925
HSPC_014,0.0576066736653211
HSPC_020,0.0139379008622329
LT_HSC_002,0.0605053138114278
HSPC_002,0.045886668686832
HSPC_021,0.0734191793145868
LT_HSC_003,0.0825542362769479
HSPC_022,0.0899544252880262
LT_HSC_004,0.0304616733432644
HSPC_017,0.0424134598721178
HSPC_035,0.0512357943632173
HSPC_018,0.0651439607943254
HSPC_024,0.0544730343194715
LT_HSC_006,0.0610711915173258
Prog_013,0.0850879824537644
Prog_025,0.177641295642189
Prog_031,0.0866118952602863
Prog_037,0.116142829073525
Prog_008,0.204418347246742
Prog_014,0.187788855955942
Prog_020,0.146026580709407
Prog_026,0.0750787453042255
Prog_032,0.185680607109297
Prog_038,0.167899998037204
Prog_002,0.136436388431955
Prog_009,0.185401679428707
Prog_015,0.0735614363068119
Prog_021,0.186720395941817
Prog_027,0.0993962439589103
Prog_033,0.184240769520154
Prog_039,0.199229870489886
LT_HSC_009,0.0332131926489621
Prog_003,0.127446249765757
Prog_010,0.0844976937741814
Prog_016,0.179394791168625
Prog_022,0.184888443505553
Prog_028,0.142321289594571
Prog_040,0.0662471858562151
Prog_004,0.109981112431921
Prog_011,0.175058242217814
Prog_023,0.106783845108474
Prog_029,0.200758110461302
Prog_035,0.187009966820158
LT_HSC_012,0.029199219446604
Prog_012,0.0761923423475831
Prog_018,0.195646060683373
Prog_024,0.122672053873431
Prog_030,0.112305737375868
Prog_036,0.152288343511652
Prog_042,0.145988860439316
Prog_006,0.205265336777697
HSPC_055,0.075878000495934
HSPC_079,0.0816863234039839
LT_HSC_013,0.035886288517358
HSPC_062,0.0878073510230824
HSPC_074,0.0427036931738159
LT_HSC_014,0.0339667875397168
HSPC_057,0.0211457945272233
HSPC_069,0.0415531436444576
HSPC_075,0.035178115767557
HSPC_081,0.0615029383146148
LT_HSC_015,0.0355628954645828
HSPC_076,0.0663614291337719
HSPC_082,0.0645249819615297
LT_HSC_016,0.0258847615533553
HSPC_065,0.0739438014933692
HSPC_077,0.0775442180054463
HSPC_083,0.035333835347316
LT_HSC_017,0.0484601628481437
HSPC_047,0.0533675742938748
HSPC_060,0.0447826717751616
HSPC_066,0.0233037927460711
HSPC_084,0.0582626441647718
LT_HSC_018,0.0312551671021526
Prog_049,0.199121513580212
Prog_061,0.207980975150093
Prog_067,0.185775067670511
Prog_079,0.195592226968256
Prog_043,0.133836074152477
Prog_056,0.13266951511633
Prog_062,0.110885247137095
Prog_068,0.0711677790625398
Prog_074,0.125986013244538
Prog_051,0.197254303393728
Prog_069,0.108326006721288
Prog_081,0.183817550868565
LT_HSC_021,0.0916161696654694
Prog_045,0.124730343480623
Prog_052,0.0986484224250004
Prog_058,0.177645914266239
Prog_064,0.188995825962706
Prog_070,0.0753895801986328
Prog_076,0.189817010393109
Prog_082,0.199885609597353
LT_HSC_022,0.029056236532469
Prog_046,0.167031461769304
Prog_053,0.189590418830938
Prog_059,0.116849837181816
Prog_071,0.104069059387459
Prog_077,0.130212822119476
LT_HSC_023,0.0312433447127973
LT_HSC_024,0.193205781361327
